x1,x2,x3,x4,x5,x6,y
225,150,109,0.96,50.46,445,363
225,150,109,0.96,58.28,445,443
229,51,38.1,2,19.59,387,80
229,51,38.1,1,20.11,296,78
230,120,90,0.58,31.82,620,265
230,100,76,1.74,38.28,335,279.3
240,240,201,0.56,20.1,720,558
240,240,201,0.79,20.4,725,661
250,180,150,1.28,17.15,604,570
250,180,150,0.86,18.65,604,443
250,180,150,1.28,19.59,604,692
250,130,110,0.3,19.73,346,228
250,130,108,1.04,19.73,532,358
250,130,110,0.3,20.48,346,277
250,180,150,1.28,20.9,453.6,503.4
250,130,110,0.46,21.15,346,265
250,130,110,0.46,21.15,346,275
250,180,150,1.28,21.432,459,570
250,130,112,0.1,21.98,656,207
250,130,110,0.76,22.12,346,311
250,130,110,0.76,22.12,346,319
250,180,150,1.28,22.325,604,570
250,135,110,0.46,22.5,346,299
250,180,150,1.28,22.572,604,570
250,180,150,0.86,22.8,453.6,507.1
250,180,150,0.86,23.104,459,535
250,165,143,0.3,23.25,532,398
250,180,150,0.86,23.712,459,518
250,130,110,0.57,23.85,346,319
250,130,110,0.57,23.85,346,321
250,180,150,0.86,24.225,604,443
250,180,150,0.86,24.548,604,443
250,180,150,1.28,24.928,459,612
250,180,150,1.28,25.73,604,855
250,180,150,1.28,25.764,604,692
250,150,125,0.96,26,298.2,427
250,150,125,1.06,26,298.2,450
250,130,108,0.47,26.28,532,282
250,180,150,0.86,26.43,604,678
250,180,150,0.86,26.448,604,678
250,180,150,0.86,26.49,604,691
250,180,150,1.73,26.695,453.6,690
250,180,150,1.73,27.03,453.6,690
250,120,95,1.06,27.5,278,306
250,120,95,1.32,27.5,289,307
250,180,150,1.28,27.63,604,771
250,110,88,1.75,27.9,458,408
250,125,107,0.38,29.73,451,246
250,180,150,0.86,30.29,604,693
250,285,246,1.19,31.16,500,1356
250,200,162.5,0.52,31.35,435,479
250,125,107,0.92,31.45,324,283
250,125,107,0.92,32.11,304,257
250,120,98,1.57,32.2,458,356
250,150,105,0.4,32.3,450,228
250,250,200,0.98,32.7,530,825
250,150,128,1.2,32.9,458,470
250,200,157.5,2.17,33.25,433,678
250,180,158,0.97,34.3,458,646
250,155,120,0.84,34.96,430,365
250,180,150,1.73,36.01,453.6,805
250,180,150,1.28,36.48,604,771
250,180,150,1.73,36.765,453.6,800
250,120,99,1.14,37.8,371,357
250,180,150,0.86,39.71,604,693
250,120,100,0.79,40.2,413.5,293
250,100,80,1.32,43.1,289.1,302
250,120,98,1.57,44.3,458,412
250,120,99,1.14,44.7,458,354
250,180,150,1.73,48.03,453.6,861
250,200,162.5,0.65,49.51,435,675
250,180,150,1.28,49.65,453.6,785
250,180,150,0.86,49.97,453.6,610
250,180,150,0.86,50.62,453.6,610
250,200,160,0.98,51.26,440,798
250,200,157.5,1.13,51.26,433,811
250,180,150,1.28,51.585,453.6,785
250,180,150,1.73,52.63,453.6,800
250,200,157.5,1.67,53.71,433,802
250,200,137.5,2.48,55.31,433,788
250,150,112.5,1.88,56.11,435,481
250,200,127.5,2.68,56.11,433,801
254,146,111.25,1.51,17.77,403,334
254,125,111,1.5,17.77,404,334
254,152,114,3.45,19.46,483,311
254,152,114,1.5,19.76,481,441
254,152,114,1.5,20.995,399,356
254,152,114,1.06,21.09,339,349
254,152,114,2,21.47,399,364
254,152,114,1.06,21.85,483,380.6
254,152,114,1.06,22.135,339,397
254,152,114,2.6,22.61,399,334
254,152,114,1.06,23.275,483,400
254,152,114,1.15,24.795,328,379
254,152,114,1.38,24.86,328,318
254,165,122,0.78,27,331,273
254,165,124,1.54,27.4,331,463
254,165,127,1.54,28.12,331,463
254,165,127,1.56,28.6,331,440
254,51,38.1,0.6,28.64,268,67
254,165,121,0.79,29,331,290
254,165,122,1.56,32.3,331,440
260,250,210,1.5,27.7,573,1023
260,250,210,0.33,28.5,577,540
260,255,210,0.33,29.3,555,550
260,250,210,0.25,32,541,408
260,250,210,0.25,38.4,552,440
300,102,82,2.02,15.62,403,239
300,153,122,0.98,23.3,459,332
300,154,124,1.04,23.4,451,408
300,155,123,0.49,24.5,448,258
300,158,128,1.01,24.6,456,430
300,156,125,0.48,24.9,462,258
300,150,120,1,25.5,461,332
300,151,120,2.16,28,436,491
300,151,119,2.18,28,448,540
300,180,150,0.71,31.5,514,489.6
300,180,150,1.71,32.3,514,661.8
300,180,150,0.93,33.2,514,600
300,200,170,1.19,36.29,473.6,750
300,150,120,3.37,39.33,384.4,400
300,150,120,2.11,41.42,384.4,540
300,200,170,1.09,41.52,384.4,600
300,200,170,1.09,41.52,384.4,635
300,200,170,1.19,41.52,473.6,750
300,180,150,0.71,41.6,514,573.7
300,200,170,0.79,41.8,343,660
300,150,120,2.11,41.9,384.4,710
300,150,120,1.12,43.23,384.4,600
300,100,76,1.74,43.38,335,323.4
300,180,150,0.93,43.7,514,649.4
300,150,120,3.37,43.7,384.4,660
300,200,170,0.79,44.37,343,660
300,180,150,1.71,44.9,514,761.4
300,150,120,1.12,47.79,384.4,600
300,140,143,1.48,48.45,535,779
300,150,120,1.74,50.83,335,575.3
300,180,150,1.71,52,514,752
300,180,150,0.71,52.3,514,562
300,180,150,0.93,55.1,514,622.4
302,51,38.1,1,22.79,386,101
305,51,38.1,1,19.45,295,90
305,51,38.1,2,24.96,387,114
320,150,99,1.46,31.16,416,360
333,102,82,0.58,16.61,456,218
350,120,98,1.57,31.4,458,360
360,150,104,0.76,34.96,414,280
399,199,172,0.66,31.07,612,696
402,197,170,0.67,31.07,612,686
406,202,175,0.65,31.07,612,799
450,125,107,0.92,28.22,304,301
450,125,107,0.92,30.31,324,397
450,125,107,0.38,32.53,451,294
500,280,240,1.31,26.18,544,1662
508,165,125,1.52,29.5,336,581
508,165,125,1.52,32.5,331,579
508,165,127,1.52,33.63,331,579
508,165,127,1.52,33.92,336,581
520,500,456,0.33,32.4,520,2153
897,203,172,1.17,22.9,576,1107
899,205,174,1.16,22.9,576,1111
901,204,173,1.16,22.9,576,1079
